Audiofile,start,end,class
s01_short.wav,0.0,1.42,background
s01_short.wav,1.42,5.4,foreground
s01_short.wav,5.4,6.37,background
s01_short.wav,6.37,13.31,foreground
s01_short.wav,13.31,14.59,background
s01_short.wav,14.59,16.2,foreground
s01_short.wav,16.2,17.94,background
s01_short.wav,17.94,18.89,foreground
s01_short.wav,18.89,20.32,background
s01_short.wav,20.32,21.02,foreground
s01_short.wav,21.02,22.62,background
s01_short.wav,22.62,26.08,foreground
s01_short.wav,26.08,27.35,background
s01_short.wav,27.35,27.96,foreground
s01_short.wav,27.96,28.39,background
s01_short.wav,28.39,29.34,foreground
s01_short.wav,29.34,29.91,background
s01_short.wav,29.91,30.43,foreground
s01_short.wav,30.43,30.99,background
s01_short.wav,30.99,31.6,foreground
s01_short.wav,31.6,32.36,background
s01_short.wav,32.36,32.77,foreground
s01_short.wav,32.77,33.78,background
s01_short.wav,33.78,35.89,foreground
s01_short.wav,35.89,36.33,background
s01_short.wav,36.33,37.32,foreground
s01_short.wav,37.32,37.78,background
s01_short.wav,37.78,38.41,foreground
s01_short.wav,38.41,38.93,background
s01_short.wav,38.93,42.66,foreground
s01_short.wav,42.66,43.37,background
s01_short.wav,43.37,45.54,foreground
s01_short.wav,45.54,46.85,background
s01_short.wav,46.85,50.22,foreground
s01_short.wav,50.22,55.54,background
s01_short.wav,55.54,56.64,foreground
s01_short.wav,56.64,57.05,background
s01_short.wav,57.05,58.11,foreground
s01_short.wav,58.11,59.35,background
s01_short.wav,59.35,60.16,foreground
s01_short.wav,60.16,60.68,background
s01_short.wav,60.68,63.32,foreground
s01_short.wav,63.32,64.22,background
s01_short.wav,64.22,65.54,foreground
s01_short.wav,65.54,67.4,background
s01_short.wav,67.4,68.3,foreground
s01_short.wav,68.3,70.58,background
s01_short.wav,70.58,71.73,foreground
s01_short.wav,71.73,73.04,background
s01_short.wav,73.04,74.05,foreground
s01_short.wav,74.05,74.78,background
s01_short.wav,74.78,75.64,foreground
s01_short.wav,75.64,78.3,background
s01_short.wav,78.3,78.79,foreground
s01_short.wav,78.79,80.04,background
s01_short.wav,80.04,80.9,foreground
s01_short.wav,80.9,81.7,background
s01_short.wav,81.7,82.3,foreground
s01_short.wav,82.3,83.03,background
s01_short.wav,83.03,85.32,foreground
s01_short.wav,85.32,85.63,background
s01_short.wav,85.63,88.12,foreground
s01_short.wav,88.12,88.88,background
s01_short.wav,88.88,89.43,foreground
s01_short.wav,89.43,92.01,background
s01_short.wav,92.01,92.71,foreground
s01_short.wav,92.71,94.06,background
s01_short.wav,94.06,94.71,foreground
s01_short.wav,94.71,98.29,background
s01_short.wav,98.29,100.99,foreground
s01_short.wav,100.99,101.44,background
s01_short.wav,101.44,104.57,foreground
s01_short.wav,104.57,104.91,background
s01_short.wav,104.91,117.63,foreground
s01_short.wav,117.63,117.97,background
s01_short.wav,117.97,120.3,foreground
s01_short.wav,120.3,121.35,background
s01_short.wav,121.35,121.76,foreground
s01_short.wav,121.76,123.79,background
s01_short.wav,123.79,125.57,foreground
s01_short.wav,125.57,126.16,background
s01_short.wav,126.16,126.86,foreground
s01_short.wav,126.86,127.22,background
s01_short.wav,127.22,133.01,foreground
s01_short.wav,133.01,133.73,background
s01_short.wav,133.73,140.05,foreground
s01_short.wav,140.05,141.12,background
s01_short.wav,141.12,142.17,foreground
